regiao,ndvi,temperatura,precipitacao,umidade,dias_sem_chuva,radiacao_solar,status_vegetacao,risco_hidrico
Uberlândia/MG,0.4173,32.01,12.45,46.15,11,20.23,EM_ESTRESSE,54.22
Santarém/PA,0.0628,36.23,2.97,10.0,32,26.7,CRITICO,99.66
Passo Fundo/RS,0.6184,19.06,16.69,76.79,3,19.84,SAUDAVEL,18.71
Passo Fundo/RS,0.5124,28.02,8.08,38.91,7,20.07,EM_ESTRESSE,35.43
Sorriso/MT,-0.0824,33.77,1.17,12.49,24,28.5,CRITICO,67.63
Uberlândia/MG,0.1343,39.33,2.97,24.87,23,24.62,CRITICO,98.89
Rio Verde/GO,-0.0531,33.33,1.15,10.73,22,28.78,CRITICO,93.81
Passo Fundo/RS,0.2618,39.96,0.52,17.92,37,26.44,CRITICO,100.0
Rondonópolis/MT,0.6783,24.44,41.68,80.3,1,14.57,SAUDAVEL,8.42
Palmas/TO,0.8983,18.43,29.81,92.61,2,10.87,SAUDAVEL,9.45
Uberlândia/MG,-0.081,36.73,2.89,12.19,24,29.94,CRITICO,69.45
Rondonópolis/MT,0.0356,37.75,1.7,15.34,25,26.65,CRITICO,93.86
Palmas/TO,0.3692,34.51,3.38,50.97,17,19.11,EM_ESTRESSE,63.06
Rondonópolis/MT,-0.098,38.74,0.69,28.17,37,28.73,CRITICO,94.17
Passo Fundo/RS,0.6294,21.92,40.19,64.05,1,16.34,SAUDAVEL,15.18
Cascavel/PR,0.6064,23.19,52.81,73.73,5,17.54,SAUDAVEL,17.76
Barreiras/BA,0.7053,26.5,18.03,80.38,0,10.58,SAUDAVEL,3.98
Barreiras/BA,0.4724,30.69,2.85,54.65,8,19.77,EM_ESTRESSE,27.99
Lucas do Rio Verde/MT,0.0662,36.16,0.49,25.9,30,24.55,CRITICO,68.97
Cascavel/PR,0.9038,29.56,16.41,85.59,4,16.39,SAUDAVEL,8.59
Rondonópolis/MT,0.7123,26.69,48.56,67.01,0,16.52,SAUDAVEL,11.4
Uberlândia/MG,0.6713,19.09,21.91,75.88,1,17.61,SAUDAVEL,13.44
Rio Verde/GO,0.2773,34.3,1.39,10.02,26,23.88,CRITICO,88.58
Cascavel/PR,0.6563,25.82,29.67,80.66,2,19.84,SAUDAVEL,3.53
Lucas do Rio Verde/MT,0.474,30.04,11.03,55.8,11,24.35,EM_ESTRESSE,56.84
Palmas/TO,0.9453,19.71,37.45,81.64,3,13.46,SAUDAVEL,22.04
Sorriso/MT,0.3255,30.45,2.43,32.36,11,20.25,EM_ESTRESSE,62.42
Santarém/PA,-0.0219,34.17,0.31,22.73,22,29.27,CRITICO,86.52
Palmas/TO,0.2397,38.0,2.41,16.79,26,27.63,CRITICO,84.94
Cascavel/PR,0.4866,31.68,11.51,32.45,11,22.15,EM_ESTRESSE,52.64
Rondonópolis/MT,0.9416,22.04,23.2,87.64,2,11.62,SAUDAVEL,1.44
Rio Verde/GO,0.2802,37.55,0.6,23.6,41,23.21,CRITICO,73.79
Rio Verde/GO,0.1897,35.98,1.04,17.42,39,26.53,CRITICO,84.1
Palmas/TO,0.5103,31.41,13.35,57.02,11,22.59,EM_ESTRESSE,63.43
Rondonópolis/MT,0.4832,33.13,3.71,51.47,19,19.26,EM_ESTRESSE,41.14
Passo Fundo/RS,0.32,31.06,3.27,42.15,19,21.6,EM_ESTRESSE,43.13
Cascavel/PR,0.3905,30.79,13.15,30.27,6,23.41,EM_ESTRESSE,37.4
Santarém/PA,0.6594,24.24,30.17,89.01,0,14.49,SAUDAVEL,17.39
Palmas/TO,0.6587,18.44,48.14,83.23,4,17.82,SAUDAVEL,17.31
Cascavel/PR,0.6392,21.24,17.57,78.59,3,10.52,SAUDAVEL,14.35
Rio Verde/GO,0.0233,36.55,0.12,12.97,40,26.36,CRITICO,86.11
Palmas/TO,0.5517,31.18,8.7,44.67,17,21.73,EM_ESTRESSE,32.2
Barreiras/BA,-0.0213,37.71,2.91,11.88,27,24.09,CRITICO,75.99
Lucas do Rio Verde/MT,0.5838,30.62,2.23,37.32,15,24.08,EM_ESTRESSE,47.15
Uberlândia/MG,0.2583,37.2,2.82,26.54,35,27.56,CRITICO,69.68
Lucas do Rio Verde/MT,0.3923,34.07,14.91,52.57,10,21.97,EM_ESTRESSE,58.12
Cascavel/PR,0.8337,27.69,49.3,87.92,2,18.69,SAUDAVEL,8.17
Passo Fundo/RS,0.7136,22.4,32.83,84.34,3,15.48,SAUDAVEL,15.19
Rondonópolis/MT,0.6256,25.24,45.07,81.68,5,15.0,SAUDAVEL,16.27
Lucas do Rio Verde/MT,0.3074,30.39,6.94,41.96,10,19.72,EM_ESTRESSE,46.05
Passo Fundo/RS,0.1801,39.69,0.05,13.92,42,29.28,CRITICO,70.22
Barreiras/BA,-0.0765,39.54,1.05,12.03,23,24.8,CRITICO,73.81
Rondonópolis/MT,0.326,33.02,7.2,59.3,15,18.85,EM_ESTRESSE,37.43
Santarém/PA,-0.028,35.07,2.38,13.7,43,29.74,CRITICO,83.76
Sorriso/MT,0.4527,28.79,2.03,49.14,10,24.19,EM_ESTRESSE,36.26
Santarém/PA,0.7263,28.87,49.65,79.48,2,17.81,SAUDAVEL,8.81
Passo Fundo/RS,0.3277,32.37,7.87,47.6,6,23.16,EM_ESTRESSE,58.5
Sorriso/MT,0.7093,20.76,24.28,82.33,0,13.91,SAUDAVEL,14.84
Lucas do Rio Verde/MT,0.809,26.11,34.92,75.6,0,16.92,SAUDAVEL,22.55
Rondonópolis/MT,0.3978,34.34,12.04,37.95,10,24.26,EM_ESTRESSE,35.66
Cascavel/PR,0.3201,31.63,2.88,54.01,16,22.48,EM_ESTRESSE,40.05
Rondonópolis/MT,0.3941,30.33,10.7,59.82,7,20.54,EM_ESTRESSE,64.52
Barreiras/BA,0.7968,29.49,22.89,84.15,0,11.7,SAUDAVEL,9.77
Passo Fundo/RS,0.0356,37.65,2.39,28.54,32,23.84,CRITICO,96.22
Barreiras/BA,0.1106,38.89,1.56,22.47,37,28.52,CRITICO,95.91
Cascavel/PR,0.6221,19.41,25.23,71.96,0,10.88,SAUDAVEL,23.75
Rondonópolis/MT,0.4297,32.2,8.7,57.58,16,22.02,EM_ESTRESSE,49.18
Sorriso/MT,0.8861,22.57,54.51,90.38,5,11.41,SAUDAVEL,7.21
Rio Verde/GO,0.6538,20.68,58.08,80.06,1,18.22,SAUDAVEL,5.49
Barreiras/BA,0.3404,34.29,12.78,39.53,8,20.79,EM_ESTRESSE,34.33
Uberlândia/MG,0.4468,29.63,3.04,53.3,17,20.18,EM_ESTRESSE,47.35
Cascavel/PR,0.6062,25.23,31.42,73.53,4,17.81,SAUDAVEL,8.84
Lucas do Rio Verde/MT,0.8433,29.8,25.76,64.98,0,17.83,SAUDAVEL,4.7
Sorriso/MT,0.589,33.7,10.0,39.19,9,22.59,EM_ESTRESSE,61.03
Rio Verde/GO,0.0754,34.36,1.1,18.28,33,24.24,CRITICO,81.33
Passo Fundo/RS,0.4396,28.13,5.38,52.81,15,19.33,EM_ESTRESSE,50.6
Santarém/PA,0.9416,27.62,58.18,77.07,2,12.66,SAUDAVEL,16.15
Passo Fundo/RS,0.6445,28.38,25.96,82.81,2,13.76,SAUDAVEL,9.62
Rio Verde/GO,-0.0481,33.72,1.98,28.86,21,26.06,CRITICO,75.96
Santarém/PA,0.8734,27.9,37.3,73.52,5,16.37,SAUDAVEL,12.75
Uberlândia/MG,-0.0588,39.92,1.33,10.96,27,23.59,CRITICO,87.5
Uberlândia/MG,0.6124,24.1,32.44,76.17,3,13.5,SAUDAVEL,20.33
Rondonópolis/MT,0.6344,25.92,49.4,69.28,5,10.83,SAUDAVEL,15.26
Uberlândia/MG,0.1436,35.67,0.62,12.43,23,28.42,CRITICO,87.72
Lucas do Rio Verde/MT,0.6438,23.69,20.13,77.01,3,11.57,SAUDAVEL,0.0
Lucas do Rio Verde/MT,0.7303,23.18,34.77,81.45,5,12.74,SAUDAVEL,24.26
Rondonópolis/MT,0.1519,35.0,2.45,27.23,36,24.81,CRITICO,84.86
Rio Verde/GO,0.1918,36.9,0.54,11.08,41,28.27,CRITICO,74.66
Lucas do Rio Verde/MT,0.8399,19.1,58.43,77.09,3,17.33,SAUDAVEL,14.1
Uberlândia/MG,0.3307,29.06,3.22,47.32,14,23.33,EM_ESTRESSE,35.37
Uberlândia/MG,0.8543,29.9,19.46,74.05,1,16.58,SAUDAVEL,9.23
Passo Fundo/RS,0.4995,30.63,9.0,45.72,15,23.33,EM_ESTRESSE,32.71
Palmas/TO,0.0435,35.29,0.45,16.11,43,26.51,CRITICO,68.68
Barreiras/BA,0.2456,37.15,1.17,18.25,27,24.25,CRITICO,64.02
Palmas/TO,0.4167,34.12,8.63,51.7,10,22.06,EM_ESTRESSE,50.02
Uberlândia/MG,0.2139,34.89,2.48,19.97,33,24.04,CRITICO,90.82
Santarém/PA,0.2076,36.62,1.32,12.95,42,28.15,CRITICO,72.48
Sorriso/MT,0.5133,34.99,14.13,49.28,6,22.46,EM_ESTRESSE,45.44
Cascavel/PR,0.1914,38.18,2.85,14.06,39,25.54,CRITICO,73.87
Sorriso/MT,0.4701,32.88,14.09,53.48,8,19.82,EM_ESTRESSE,47.27
Rio Verde/GO,0.4262,34.56,11.18,48.94,19,23.1,EM_ESTRESSE,47.0
Palmas/TO,0.62,20.7,20.91,73.96,3,16.57,SAUDAVEL,21.33
Santarém/PA,0.6916,20.96,55.78,68.73,5,14.29,SAUDAVEL,19.73
Palmas/TO,0.3097,28.44,13.78,34.18,9,20.21,EM_ESTRESSE,54.53
Lucas do Rio Verde/MT,0.1138,33.9,2.65,17.87,31,28.51,CRITICO,86.82
Rio Verde/GO,0.829,20.38,40.44,76.24,0,19.47,SAUDAVEL,22.28
Sorriso/MT,0.6789,21.01,53.28,79.64,0,19.81,SAUDAVEL,5.11
Palmas/TO,0.114,37.29,0.68,26.94,29,24.16,CRITICO,100.0
Lucas do Rio Verde/MT,0.9017,23.52,48.72,70.17,5,18.06,SAUDAVEL,8.79
Sorriso/MT,0.6905,19.98,29.86,86.49,5,10.18,SAUDAVEL,4.11
Barreiras/BA,-0.0069,36.16,2.95,25.44,21,23.46,CRITICO,83.69
Sorriso/MT,0.5315,30.6,7.87,41.92,16,23.43,EM_ESTRESSE,61.98
Santarém/PA,0.7248,27.09,27.44,70.93,0,13.96,SAUDAVEL,23.08
Santarém/PA,0.4618,29.16,9.98,40.89,16,19.94,EM_ESTRESSE,62.27
Sorriso/MT,0.7273,26.79,51.92,70.96,5,16.15,SAUDAVEL,4.38
Passo Fundo/RS,0.0629,39.89,2.0,22.69,23,29.98,CRITICO,100.0
Rio Verde/GO,0.4529,33.04,13.57,32.38,10,24.81,EM_ESTRESSE,40.57
Cascavel/PR,0.506,30.2,8.13,54.65,17,20.2,EM_ESTRESSE,40.82
Santarém/PA,0.6395,19.05,47.36,74.7,1,13.48,SAUDAVEL,12.75
Palmas/TO,0.4674,33.17,12.48,55.31,16,22.44,EM_ESTRESSE,35.48
Lucas do Rio Verde/MT,0.6013,26.18,22.52,82.93,0,18.37,SAUDAVEL,7.84
Barreiras/BA,-0.0159,35.52,0.21,25.26,40,27.57,CRITICO,100.0
Passo Fundo/RS,-0.077,39.29,1.95,27.48,42,24.18,CRITICO,77.92
Barreiras/BA,0.3374,30.89,12.43,44.37,6,18.29,EM_ESTRESSE,58.41
Passo Fundo/RS,0.8477,29.67,52.17,84.48,3,10.18,SAUDAVEL,25.43
Passo Fundo/RS,0.4842,31.15,4.84,33.61,9,18.68,EM_ESTRESSE,35.54
Uberlândia/MG,0.8886,18.89,25.19,85.56,0,10.48,SAUDAVEL,24.69
Palmas/TO,0.3987,34.92,10.14,45.94,19,23.56,EM_ESTRESSE,31.71
Lucas do Rio Verde/MT,0.4911,29.77,4.86,44.65,10,18.66,EM_ESTRESSE,62.85
Sorriso/MT,0.9345,18.3,46.25,62.88,5,14.35,SAUDAVEL,19.96
Santarém/PA,0.6597,29.38,35.04,87.61,2,12.37,SAUDAVEL,10.43
Cascavel/PR,0.2786,34.84,0.81,19.46,28,26.54,CRITICO,84.62
Palmas/TO,0.6139,25.25,55.83,68.36,1,19.72,SAUDAVEL,8.18
Uberlândia/MG,0.4298,31.32,9.68,46.11,6,18.05,EM_ESTRESSE,34.89
Sorriso/MT,0.5327,32.0,8.66,38.8,19,19.94,EM_ESTRESSE,57.29
Sorriso/MT,0.7208,24.09,54.34,77.27,2,10.45,SAUDAVEL,13.84
Sorriso/MT,0.5117,34.18,10.72,37.75,18,20.17,EM_ESTRESSE,61.56
Santarém/PA,0.2365,33.01,2.15,26.59,36,27.23,CRITICO,86.72
Sorriso/MT,0.407,28.85,7.45,52.54,6,20.83,EM_ESTRESSE,42.74
Lucas do Rio Verde/MT,0.4968,30.53,9.72,30.3,7,18.97,EM_ESTRESSE,31.98
Rondonópolis/MT,-0.053,39.32,0.2,20.68,27,28.74,CRITICO,89.52
Sorriso/MT,0.7398,28.92,51.36,67.56,0,17.29,SAUDAVEL,18.38
Cascavel/PR,0.0575,33.54,1.63,27.23,31,28.59,CRITICO,95.93
Palmas/TO,0.3925,32.08,6.83,48.03,9,20.75,EM_ESTRESSE,48.47
Rio Verde/GO,0.313,33.33,14.31,40.19,15,22.52,EM_ESTRESSE,51.34
Sorriso/MT,0.8965,24.37,52.88,80.31,5,14.54,SAUDAVEL,15.05
Rio Verde/GO,0.9421,24.38,21.11,63.48,5,10.31,SAUDAVEL,7.66
Lucas do Rio Verde/MT,0.6515,23.85,20.85,89.24,4,19.56,SAUDAVEL,10.18
Barreiras/BA,0.1127,33.62,1.82,13.03,36,25.7,CRITICO,77.16
Rio Verde/GO,0.4544,29.18,5.21,55.16,8,20.12,EM_ESTRESSE,37.24
Sorriso/MT,0.4964,29.65,12.8,46.34,6,22.06,EM_ESTRESSE,34.54
Lucas do Rio Verde/MT,0.4165,34.96,13.44,48.7,14,23.55,EM_ESTRESSE,47.54
Uberlândia/MG,0.7664,24.52,25.25,93.74,4,15.99,SAUDAVEL,8.59
Cascavel/PR,0.8767,19.5,50.74,69.65,5,10.34,SAUDAVEL,26.93
Santarém/PA,0.0885,39.04,1.77,17.51,25,26.66,CRITICO,84.34
Palmas/TO,0.5105,34.26,7.93,43.3,9,23.65,EM_ESTRESSE,49.65
Uberlândia/MG,0.0713,38.93,2.68,11.25,25,24.79,CRITICO,68.91
Passo Fundo/RS,0.7669,26.25,47.52,84.24,1,16.33,SAUDAVEL,18.03
Palmas/TO,0.6737,29.49,15.4,94.92,1,18.28,SAUDAVEL,4.45
Sorriso/MT,0.4835,28.48,2.07,58.11,17,22.61,EM_ESTRESSE,58.89
Lucas do Rio Verde/MT,0.7397,26.68,27.62,84.06,5,13.06,SAUDAVEL,14.52
Lucas do Rio Verde/MT,0.6353,28.43,45.68,63.95,1,17.95,SAUDAVEL,14.98
Lucas do Rio Verde/MT,0.1601,34.48,2.59,18.03,42,29.5,CRITICO,81.62
Passo Fundo/RS,0.3655,32.48,14.73,48.1,10,20.91,EM_ESTRESSE,54.71
Passo Fundo/RS,0.4303,32.1,10.12,32.15,7,19.69,EM_ESTRESSE,56.92
Uberlândia/MG,0.7972,19.44,56.26,85.22,3,14.97,SAUDAVEL,4.91
Lucas do Rio Verde/MT,0.0059,35.82,0.31,13.78,37,24.93,CRITICO,87.12
Lucas do Rio Verde/MT,0.3987,34.58,3.08,57.93,14,20.52,EM_ESTRESSE,41.52
Barreiras/BA,0.2478,36.04,2.73,17.55,31,27.73,CRITICO,66.31
Sorriso/MT,0.2293,37.73,0.42,15.08,30,27.66,CRITICO,100.0
Sorriso/MT,0.2682,34.88,1.43,22.69,24,23.34,CRITICO,80.34
Palmas/TO,0.3322,32.44,12.02,30.09,12,23.37,EM_ESTRESSE,46.51
Lucas do Rio Verde/MT,0.8301,23.67,54.61,67.55,4,17.54,SAUDAVEL,0.27
Uberlândia/MG,0.5142,30.21,10.38,41.85,13,21.28,EM_ESTRESSE,47.78
Rondonópolis/MT,0.5388,33.47,9.07,33.0,15,18.1,EM_ESTRESSE,42.29
Cascavel/PR,0.27,33.22,2.21,16.6,31,27.17,CRITICO,65.13
Barreiras/BA,0.7392,27.15,35.47,69.35,0,15.21,SAUDAVEL,22.15
Rio Verde/GO,0.7339,22.41,23.18,75.24,4,13.42,SAUDAVEL,16.82
Palmas/TO,0.3004,30.1,10.4,59.23,8,18.17,EM_ESTRESSE,63.15
Palmas/TO,0.6725,19.83,55.48,84.85,4,12.47,SAUDAVEL,13.59
Passo Fundo/RS,0.1271,39.93,0.72,20.61,39,26.81,CRITICO,96.15
Palmas/TO,0.854,25.44,55.32,89.65,2,15.78,SAUDAVEL,5.54
Uberlândia/MG,-0.0361,37.5,2.43,28.95,25,25.03,CRITICO,83.79
Palmas/TO,0.1691,39.51,1.49,14.61,43,23.94,CRITICO,98.71
Santarém/PA,-0.0703,34.92,2.42,19.19,29,24.26,CRITICO,81.42
Cascavel/PR,0.3607,28.35,12.97,59.44,18,21.69,EM_ESTRESSE,44.67
Palmas/TO,0.933,29.94,47.03,94.34,0,12.19,SAUDAVEL,13.99
Passo Fundo/RS,0.8178,29.77,23.55,87.74,2,13.55,SAUDAVEL,16.83
Lucas do Rio Verde/MT,0.0532,38.98,2.32,16.2,20,26.21,CRITICO,95.11
Lucas do Rio Verde/MT,0.0946,33.08,0.03,17.14,29,28.63,CRITICO,68.46
